,popularity,characteristic,power
738,38,loudness,0.7837914023960536
739,39,loudness,0.7872915198496595
740,40,loudness,0.7938924124970637
741,41,loudness,0.7970636598543577
742,42,loudness,0.8015190666353458
743,43,loudness,0.8024352047607862
744,44,loudness,0.8059979641374991
745,45,loudness,0.8088325111580925
746,46,loudness,0.8100853496202334
747,47,loudness,0.8133662203429646
748,48,loudness,0.8132487667371389
749,49,loudness,0.8170072821235612
750,50,loudness,0.8184323858742464
751,51,loudness,0.8209693837600816
752,52,loudness,0.8200297549134759
753,53,loudness,0.8214235377026076
754,54,loudness,0.8226607156839716
755,55,loudness,0.8258241328008771
756,56,loudness,0.8231775115496047
757,57,loudness,0.8287526427061311
758,58,loudness,0.8304361443896329
759,59,loudness,0.8318769086210946
760,60,loudness,0.8301072742933209
761,61,loudness,0.8309372797744892
762,62,loudness,0.8300994440529325
763,63,loudness,0.8295669877065227
764,64,loudness,0.8314932268420641
765,65,loudness,0.8350090047764467
766,66,loudness,0.8343121133818809
767,67,loudness,0.8346253229974161
768,68,loudness,0.8392451648265602
769,69,loudness,0.8359721243442174
770,70,loudness,0.8398480933364655
771,71,loudness,0.8372249628063582
772,72,loudness,0.8399890376634563
773,73,loudness,0.8435204760786157
774,74,loudness,0.8420953723279305
775,75,loudness,0.84311330357842
776,76,loudness,0.8399342259807376
777,77,loudness,0.8466055907916374
778,78,loudness,0.8460887949260043
779,79,loudness,0.845838227233576
780,80,loudness,0.8516639260825308
781,81,loudness,0.8452666196852244
782,82,loudness,0.8432933991073526
783,83,loudness,0.8411557434813249
784,84,loudness,0.842330279539582
785,85,loudness,0.8491582491582492
786,86,loudness,0.8504424085819435
787,87,loudness,0.8337013546315872
788,88,loudness,0.849956933677864
789,89,loudness,0.8394017696343279
790,90,loudness,0.843630099444053
791,91,loudness,0.8676532769556026
792,92,loudness,0.8628298488763606
793,93,loudness,0.8093023255813955
794,94,loudness,0.8799154334038055
795,95,loudness,0.8211808002505677
796,96,loudness,0.8343669250645995
797,97,loudness,0.8705661263800799
798,99,loudness,0.8839088560018793
799,100,loudness,0.7821000704721636
800,0,speechiness,0.0566
801,1,speechiness,0.0514
802,2,speechiness,0.0466
803,3,speechiness,0.0471
804,4,speechiness,0.04485
805,5,speechiness,0.0446
806,6,speechiness,0.0443
807,7,speechiness,0.043
808,8,speechiness,0.0438
809,9,speechiness,0.0434
810,10,speechiness,0.0425
811,11,speechiness,0.0428
812,12,speechiness,0.041049999999999996
813,13,speechiness,0.0412
814,14,speechiness,0.0411
815,15,speechiness,0.0409
816,16,speechiness,0.0413
817,17,speechiness,0.0404
818,18,speechiness,0.0403
819,19,speechiness,0.0409
820,20,speechiness,0.04015
821,21,speechiness,0.0405
822,22,speechiness,0.0403
823,23,speechiness,0.0404
824,24,speechiness,0.0413
825,25,speechiness,0.0405
826,26,speechiness,0.0411
827,27,speechiness,0.0405
828,28,speechiness,0.0413
829,29,speechiness,0.04115
830,30,speechiness,0.0415
831,31,speechiness,0.0411
832,32,speechiness,0.0411
833,33,speechiness,0.0418
834,34,speechiness,0.0411
835,35,speechiness,0.0424
836,36,speechiness,0.0418
837,37,speechiness,0.04265
838,38,speechiness,0.0418
839,39,speechiness,0.042
840,40,speechiness,0.043
841,41,speechiness,0.0429
842,42,speechiness,0.0434
843,43,speechiness,0.0432
844,44,speechiness,0.0429
845,45,speechiness,0.044000000000000004
846,46,speechiness,0.0434
847,47,speechiness,0.0431
848,48,speechiness,0.0441
849,49,speechiness,0.0438
850,50,speechiness,0.0431
851,51,speechiness,0.0446
852,52,speechiness,0.0439
853,53,speechiness,0.0436
854,54,speechiness,0.0426
855,55,speechiness,0.0433
856,56,speechiness,0.0445
857,57,speechiness,0.046
858,58,speechiness,0.04455
859,59,speechiness,0.04635
860,60,speechiness,0.04635
861,61,speechiness,0.04715
862,62,speechiness,0.0478
